County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Martin County,MN,24.1,21.9,5.8,0.6,0.7,0.9,5,0.1,1.1,96.6,92.3
Martin County,NC,23.9,20.2,5.5,0.6,0.5,42.1,4.1,0.2,1.3,55.3,52.3
Martin County,TX,11.4,31.3,8.4,1.6,0.5,3,47.6,0.1,1.2,93.5,48.8
Martinsville city,VA,18.7,24.1,8.1,0.4,1,45.4,5.7,0.1,4,48,44
Mason County,IL,22.4,20.9,5.2,0.4,0.5,0.7,1.2,0,1.2,97.3,96.2
Mason County,KY,18.7,23.1,6,0.4,0.9,6.3,2.1,0,2.4,89.9,88.3
Mason County,MI,24.3,20.3,5.3,1.1,0.7,0.9,4.6,-1,1.9,95.4,91.3
Mason County,TX,29.2,20.2,4.9,0.7,0.3,0.9,25.4,0.3,1.1,96.7,72.7
Mason County,WA,23.3,19.5,5.3,4.8,1.3,1.5,10.6,0.4,4.4,87.5,79.8
Mason County,WV,21.6,20.7,5.3,0.2,0.3,0.9,0.8,0.1,1.3,97.3,96.6
Massac County,IL,21.4,21.6,5.5,0.6,0.6,6.1,3.2,0,2.4,90.4,87.7
Matagorda County,TX,17.4,25.6,7.3,1.4,1.9,11.3,43.3,0.1,1.7,83.6,43.3
Matanuska-Susitna Borough,AK,12.7,26.4,6.8,6.9,1.7,1.3,5.2,0.4,7,82.5,78.6
Mathews County,VA,31.5,15.6,3.9,0.3,0.9,8.5,2.7,0.1,2.1,88.1,85.7
Maui County,HI,19,21.6,5.8,0.6,29,0.8,11.6,10.6,24.2,34.9,30.1
Maury County,TN,16.3,23.3,6.6,0.5,1,12,6.2,0.1,2.4,84.1,78.7
Maverick County,TX,11.9,31,9.1,1.8,0.7,0.7,95.1,0,0.6,96.2,2.7
Mayes County,OK,18.9,23.2,5.8,22.4,0.4,0.7,3.8,0.1,9.6,66.8,64.3
McClain County,OK,15.7,25.5,5.7,7.1,0.5,1,8.3,0.1,5.5,85.7,78.6
McCone County,MT,27.1,21.1,5.6,1.4,0.4,0.7,1.8,-1,2.2,95.4,93.9
McCook County,SD,18.9,27.8,8.2,1.5,0.2,0.7,4.3,0.1,1.3,96.2,92.9
McCormick County,SC,35.6,11.4,2.7,0.1,0.6,44.5,1.4,0.1,1,53.6,52.6
McCracken County,KY,20.3,22.2,6,0.4,1,11,2.7,0.1,2.4,85.2,83
McCreary County,KY,16.3,21.5,5.7,0.8,0.4,5.9,2.7,0.1,1.6,91.3,89.2
McCulloch County,TX,22.4,22.1,5.3,1.2,0.8,2.9,33,0.1,2,93,62.6
McCurtain County,OK,18.6,25.2,6.7,17.1,1,8.1,6.2,1.4,7.3,65.1,61.3
McDonald County,MO,15.6,25.6,7.5,3.2,1.6,2,11.4,2.8,3.8,86.6,76.8
McDonough County,IL,18.1,17.3,4.6,0.4,2.5,5.5,2.9,0,1.7,89.9,87.6
McDowell County,NC,20.8,20,5,0.8,1.1,4.2,6.4,0.1,1.5,92.3,87.2
McDowell County,WV,22.8,20.4,5.2,0.2,0.2,8.2,1.4,-1,1.4,90,88.7
McDuffie County,GA,18.1,24.9,6.4,0.4,0.5,41.5,3.4,0.1,1.8,55.6,53.1
McHenry County,IL,15.2,23.2,5.5,0.5,3,1.8,13.9,0.1,1.7,93,80.1
McHenry County,ND,20.9,23.8,6.1,1,0.3,0.4,2,-1,1.1,97.2,95.5
McIntosh County,GA,28.1,15.8,4.1,0.6,0.5,33.5,2.3,0.1,1.7,63.6,62.2
McIntosh County,ND,32.2,18.5,5.1,0.8,1,0.8,2.6,-1,0.9,96.6,94.1
McIntosh County,OK,25.9,19.6,4.9,18.8,0.5,3,2.9,0.1,8.1,69.5,67.7
McKean County,PA,20.1,19.8,4.8,0.3,0.6,2.5,2.2,0,1.3,95.3,93.4
McKenzie County,ND,8.8,31.8,9.8,9.1,1,2.1,9.7,0.2,3.4,84.2,76.2
McKinley County,NM,12.9,28.1,6.5,79.6,1.1,0.7,14.2,0.1,2.3,16.3,8.3
McLean County,IL,13.8,21.2,5.7,0.3,5.1,8.4,5.2,0.1,2.4,83.7,79.2
McLean County,KY,20,23.5,5.6,0.4,0.3,0.9,1.8,0,1.3,97.1,95.6
McLean County,ND,24.2,22,6.2,7.6,0.3,0.5,2.6,0.1,2,89.6,88.3
McLennan County,TX,14.7,24.5,6.8,1.1,1.8,14.8,27,0.1,2.2,80,55.4
McLeod County,MN,19.1,22.8,5.7,0.5,0.8,0.8,6.6,0.1,1.2,96.6,90.5
McMinn County,TN,19.9,21.2,5.6,0.5,0.8,3.9,4.5,0,2.2,92.5,88.7
McMullen County,TX,25.4,19.8,5.4,0.5,0.7,2.4,42.1,-1,2.8,93.5,53.8
McNairy County,TN,21.2,21.6,5.3,0.4,0.4,6.1,2.3,0,1.7,91.4,89.6
McPherson County,KS,20.2,22.7,5.7,0.6,0.9,1.3,4.5,0.1,1.9,95.1,91.2
McPherson County,NE,24.1,18.2,2.8,-1,-1,0.4,1.4,-1,1.2,98.4,97
McPherson County,SD,28.3,24.8,6,0.3,0.4,0.7,1.6,0.1,1.3,97.2,96
Meade County,KS,19.5,25,6.3,1.3,0.9,1.1,18.9,-1,1.5,95.3,77.2
Meade County,KY,14.7,22.1,5.4,0.7,0.8,4,3.9,0.2,2.2,92.2,89
Meade County,SD,16,22.4,5.3,3.2,1,2,4.4,0.1,3.2,90.5,87.2
Meagher County,MT,31.6,18.7,4.7,0.7,0.4,0.5,1.8,-1,1.5,96.8,95.3
Mecklenburg County,NC,11.5,23.3,6.6,0.8,6.3,33,13.8,0.1,2.5,57.3,46.1
Mecklenburg County,VA,25.9,18.7,5,0.4,0.8,34.6,3.1,0.1,1.9,62.2,60
Mecosta County,MI,18.6,18.5,4.9,0.8,0.9,2.9,2.4,0,2.4,92.9,91.1
Medina County,OH,18.5,22,5.2,0.2,1.3,1.5,2.3,0,1.4,95.6,93.6
Medina County,TX,17,22.9,6,1,0.9,3.1,52.6,0.2,1.5,93.3,42.7
Meeker County,MN,20.5,24.1,6.1,0.4,0.4,0.8,4.3,0.1,1,97.3,93.5
Meigs County,OH,20.4,21.1,5.3,0.3,0.2,1,0.7,0,1.3,97.1,96.5
Meigs County,TN,21.7,20,5.3,1,0.3,1.6,2.3,0,1.5,95.5,93.8
Mellette County,SD,14.8,30.8,10.6,55.2,0.2,0.5,3.5,-1,6.3,37.8,36.6
Menard County,IL,20,21.6,5.3,0.3,0.4,0.9,1.6,0,1.5,96.9,95.5
Menard County,TX,32.7,18.1,4,1.7,0.2,1.7,37,-1,1.3,95.1,59.9
Mendocino County,CA,23.1,21.1,5.7,6.3,2.3,1.1,25.8,0.3,3.9,86.1,64.3
Menifee County,KY,21.4,18.4,4.8,0.2,0.2,2.8,1.2,0,1.3,95.4,94.5
Menominee County,MI,25.6,17.6,4.3,3.1,0.5,0.7,2,0,1.8,94,92.5
Menominee County,WI,14,33.3,9.4,82,1.7,1,6.7,-1,3,12.3,11.6
Merced County,CA,11.4,29.3,7.7,2.5,7.8,3.9,61,0.4,3.2,82.2,26.5
Mercer County,IL,21.8,21.1,5,0.3,0.5,0.7,2.6,0,1.2,97.3,94.9
Mercer County,KY,18.9,22.2,6,0.3,0.7,3.7,3.1,0.1,2,93.3,90.7
Mercer County,MO,22.5,23.9,6.8,0.6,0.8,0.4,2.7,0,1.4,96.7,94.3
Mercer County,ND,20.1,23.2,6,2.9,0.5,0.7,3,0.1,1.7,94.2,92.2
Mercer County,NJ,15.6,21.2,5.6,0.6,11.9,21.5,18.5,0.2,2.5,63.3,48.2
Mercer County,OH,18.2,25.9,7.7,0.4,0.6,0.5,2,0.9,1.2,96.5,94.8
Mercer County,PA,22.2,19.2,4.9,0.2,0.7,5.9,1.6,0,1.9,91.3,90
Mercer County,WV,22.4,20.7,5.7,0.3,0.6,6,1.2,0,1.9,91.2,90.3
Meriwether County,GA,20.8,21,6,0.5,0.6,38.5,2.5,0,1.8,58.5,56.7
Merrick County,NE,20.7,22.4,5.8,0.8,1,0.5,5,0.1,1.2,96.4,92
Merrimack County,NH,18.7,18.9,4.7,0.3,2.2,1.8,2.3,0,1.7,94,92.1
Mesa County,CO,19.7,21.3,5.5,1.5,1,0.9,14.8,0.1,2.4,93.9,81.1
Metcalfe County,KY,19.4,23.4,6.1,0.3,0.3,1.8,2.1,0,1.1,96.6,94.7
Miami County,IN,18,21.2,5.4,1,0.5,5.1,3.5,0,2.2,91.2,88.3
Miami County,KS,17.1,24.4,6.1,0.8,0.6,1.5,3.4,0,1.9,95.1,92.2
Miami County,OH,18.9,22.9,5.9,0.3,1.7,2.4,1.9,0,2.1,93.4,91.8
Miami-Dade County,FL,16.7,20.2,5.8,0.3,1.6,17.7,69.4,0,1.3,79,12.9
Middlesex County,CT,21,17.3,4.1,0.3,3.3,5.6,6.6,0.1,2.1,88.7,83.3
Middlesex County,MA,15.7,19.6,5.2,0.3,13.1,5.9,8.3,0.1,2.5,78.2,71.2
Middlesex County,NJ,15.5,21.7,5.7,0.7,24.9,12,22.1,0.1,2.3,60.1,41.7
Middlesex County,VA,32,16,4.5,0.5,0.5,16.6,2.9,0.1,2.2,80.1,77.7
Midland County,MI,18.9,21.3,5.4,0.6,2.4,1.5,2.9,0.1,1.8,93.8,91.2
Midland County,TX,10.4,28.6,8.7,1.2,2.3,6.9,46,0.1,1.7,87.8,44
Mifflin County,PA,22.1,22.2,6.1,0.2,0.7,0.9,1.7,0,1.2,97,95.7
Milam County,TX,21.1,23.8,5.8,1.3,1,9.5,26.8,0.1,1.7,86.4,62
Millard County,UT,17.8,31,7.7,2.1,1.6,0.6,12.9,0.2,1.8,93.8,82.8
Mille Lacs County,MN,18.6,23.7,6.3,6.4,0.7,0.7,2.6,0,1.9,90.3,88.6
Miller County,AR,17.2,23.3,6.4,0.9,0.5,25.4,3.6,0.1,2,71.1,68.3
Miller County,GA,22.5,22.9,5.8,0.5,0.6,28.3,2.9,0,1.6,68.9,67
Miller County,MO,19.6,23.4,6.2,0.6,0.4,0.8,2.1,0.2,1.7,96.3,94.5
Mills County,IA,18.9,23.1,5.4,0.7,0.4,0.7,3.5,0.1,1.2,96.9,93.8
Mills County,TX,29.1,20.4,4.2,1,0.4,1.2,18.3,0,1.3,96.1,79.2
Milwaukee County,WI,14,23.8,6.8,1,4.7,27.2,15.6,0,2.8,64.2,50.6
Miner County,SD,21,24,6.6,0.8,0.5,0.8,3.2,-1,1.5,96.4,93.8
Mineral County,CO,33.6,14,4,1,0.5,0.3,6.2,-1,1.2,97,91.2
Mineral County,MT,29.6,18.2,4.9,2,0.7,0.5,3.1,-1,2.7,94,91.5
Mineral County,NV,25.4,19.6,6,18.2,3.4,4.8,13.2,0.2,4.8,68.6,60.9
Mineral County,WV,22.1,19.8,5.1,0.2,0.6,3,1,0,1.6,94.6,93.7
Mingo County,WV,19.8,22.4,6.3,0.1,0.3,2,0.9,0,1.3,96.3,95.6
Minidoka County,ID,16.2,28.6,7.7,2.3,0.6,0.8,36,0.1,1.9,94.2,61.3
Minnehaha County,SD,13.5,25.2,7.5,2.8,2.1,6.1,5.1,0.1,2.5,86.2,82
Missaukee County,MI,20.7,22.9,6.3,0.8,0.7,0.6,3,0,1.7,96.2,93.8
Mississippi County,AR,15,26.1,7.2,0.5,0.5,35.6,4.4,0,1.6,61.8,58.1
Mississippi County,MO,18.2,20.8,5.3,0.4,0.3,24.8,2.5,0,1.4,73.1,71
Missoula County,MT,16.2,18.6,5,2.7,1.8,0.5,3.4,0.1,3.1,91.7,89.1
Mitchell County,GA,16.9,22.4,5.8,0.6,0.8,48,4.8,0.1,1.2,49.3,45.5
Mitchell County,IA,21.4,23.7,5.9,0.2,0.5,0.6,1.7,0,0.8,97.9,96.4
Mitchell County,KS,24.2,22.7,6.3,0.5,0.9,0.3,2.7,0.2,1.4,96.7,94.3
Mitchell County,NC,25.5,18.3,4.8,0.9,0.7,0.8,6.2,0.2,1.4,96,91.1
Mitchell County,TX,14.7,20.6,5.4,1.8,0.8,12,40.6,0.1,2.5,82.8,46.5
Mobile County,AL,16.6,23.3,6.6,0.9,2.1,36.2,3,0,1.7,59,56.5
Modoc County,CA,27.5,19.4,4.8,5.1,1.2,1.4,14.6,0.4,3.7,88.2,77.2
Moffat County,CO,15.9,25.4,6.8,1.5,0.8,0.8,16.2,0.1,2.4,94.4,79.7
Mohave County,AZ,31.1,16.7,4.3,3,1.2,1.3,16.9,0.2,2.5,91.7,76.7
Moniteau County,MO,16.2,24.2,6.5,0.4,0.4,4.1,5.3,0.1,1.5,93.4,88.5
Monmouth County,NJ,18.2,20.9,4.9,0.3,5.6,7.5,11.1,0.1,1.8,84.8,75.1
Mono County,CA,16.1,17.8,4.8,2.9,2.6,0.8,26.8,0.4,3.3,90.1,65.8
Monona County,IA,24.7,22.1,5.9,1.5,0.3,0.7,2.2,0.2,1.1,96.1,94.1
Monongalia County,WV,13.2,16.3,4.9,0.2,3.4,3.9,2.2,0.1,2.3,90.2,88.3
Monroe County,AL,21.1,21.1,5.1,1.3,0.5,41,1.7,0,1.8,55.4,54.1
Monroe County,AR,24.1,20.5,6,0.7,0.8,40.2,2.6,-1,2.3,56.1,54.3
Monroe County,FL,23.7,15.2,4.5,0.5,1.5,7.1,25.3,0.1,1.8,89,65.1
Monroe County,GA,19.2,20.3,4.9,0.3,1,22.7,2.4,0,1.3,74.6,72.7
Monroe County,IA,20.3,23,5.7,0.2,0.4,0.8,2.7,0,1.3,97.2,94.8
Monroe County,IL,18.4,22,5.7,0.3,0.6,0.4,1.6,0,1,97.7,96.2
Monroe County,IN,13.6,15.6,4.3,0.3,7.3,3.7,3.6,0.1,2.6,86,83
Monroe County,KY,19.2,22.7,6.7,0.2,0.3,2.3,3.1,0,1.2,96,93.2
Monroe County,MI,18.8,21.1,5.2,0.4,0.7,2.7,3.7,0,1.9,94.3,91
Monroe County,MO,24,21.6,5.3,0.6,0.4,2.9,1.7,0,2.1,93.9,92.5
Monroe County,MS,19.7,22.5,5.6,0.3,0.3,30.5,1.4,0,1,68,67
Monroe County,NY,17.9,20.6,5.4,0.4,3.7,16.2,9.2,0.1,2.7,76.8,70.1
Monroe County,OH,24.1,19.9,5,0.2,0.2,0.6,0.8,0,1.4,97.6,96.9
Monroe County,PA,17.8,19.4,4.7,0.6,2.7,16.4,17,0.1,2.8,77.4,64.5
Monroe County,TN,21.4,20.9,5.3,0.7,0.4,2.2,4.6,0.1,1.8,94.8,90.8
Monroe County,WI,17.5,25.2,6.7,1.5,0.9,1.8,4.9,0.1,1.7,94,89.9
Monroe County,WV,25.4,19.4,4.8,0.4,0.2,0.8,1,0,1.6,97,96.2
Montague County,TX,22.4,22.4,5.9,1.4,0.5,0.8,11.2,0.1,1.8,95.4,85.4
Montcalm County,MI,18.1,22,5.6,0.6,0.4,2.5,3.6,0,1.7,94.8,91.6
Monterey County,CA,14,26,6.9,2.6,6.7,3.4,59.4,0.6,3.8,82.8,29.4
Montezuma County,CO,22.9,21.6,5.4,14.1,0.7,0.5,12.6,0.1,2.5,82.1,72.1
Montgomery County,AL,15.6,23.4,6.8,0.3,3.3,59.3,3.7,0.1,1.5,35.5,32.7
Montgomery County,AR,27,18.5,5.2,1.4,1.3,0.8,4.5,0,2.5,94,90.4
Montgomery County,GA,17.5,20,5.3,0.1,0.6,25.9,7,0,1.4,71.9,66.1
Montgomery County,IA,21.6,22.5,6.2,0.6,0.4,0.6,4.1,0.1,1.3,97,93.3
Montgomery County,IL,20.6,20.1,5.2,0.3,0.5,3.5,1.9,0,1,94.7,93
Montgomery County,IN,18.3,22.7,5.8,0.4,0.9,1.1,4.9,0,1.4,96.1,91.6
Montgomery County,KS,20.3,23.8,5.9,3.6,1,5.3,7.2,0.1,5.4,84.5,78.7
Montgomery County,KY,16.3,23.3,6.4,0.3,0.5,2.7,2.8,0.1,1.4,95.1,92.8
Montgomery County,MD,16.1,23.1,6.1,0.7,15.6,20.1,20.1,0.1,3.5,60,42.9
Montgomery County,MO,21.3,21.9,5.5,0.3,0.5,1.9,2.1,0.1,1.8,95.5,93.6
Montgomery County,MS,22.2,22.3,6,0.4,0.8,44.8,1.5,0,0.9,53.2,52.2
Montgomery County,NC,21.1,21.7,5.2,1.1,1.6,19,15.6,0.1,1.8,76.4,62.9
Montgomery County,NY,18.9,22.9,6.4,0.6,0.9,3.3,15,0.1,2.1,93,80.2
Montgomery County,OH,18.3,22,6.1,0.3,2.3,21.5,3.3,0.1,2.9,73,70.3
Montgomery County,PA,18.2,21.5,5.5,0.2,8.1,10,5.4,0.1,2.3,79.4,75
Montgomery County,TN,9.5,26.8,8.2,0.7,2.3,21.3,10.2,0.4,4.8,70.4,62.3
Montgomery County,TX,13.4,26.1,6.6,1,3.3,5.9,25.2,0.1,1.9,87.9,64.4
Montgomery County,VA,13.2,15.3,4.1,0.3,6.3,4.3,3.5,0.1,2.5,86.5,83.6
Montmorency County,MI,32.8,14.8,3.5,0.8,0.3,0.6,1.4,0,1.7,96.6,95.4
Montour County,PA,21.5,20.6,5.7,0.2,3.4,1.8,2.9,0,1.3,93.2,90.8
Montrose County,CO,24.1,21.2,5.3,1.9,0.8,0.8,20.9,0.2,2,94.3,75.8
Moody County,SD,19.2,26.5,7.1,13.8,2.1,1.4,4.6,-1,3.4,79.4,76.6
Moore County,NC,24,21.4,5.9,1,1.6,12,7.1,0.2,2.1,83.1,77
Moore County,TN,22.1,19.3,4.7,0.3,1.9,2.5,1.8,0,1.3,94,92.5
Moore County,TX,11.3,31.8,9.2,1.8,6.2,4.2,57.3,0.2,1.4,86.2,31.4
Mora County,NM,28.9,17.3,4.5,3.2,0.6,1.1,81.2,0,1.9,93.2,16.9
Morehouse Parish,LA,19.4,24.2,6.8,0.2,0.5,47.9,1.5,0.1,1.3,50.1,49
Morgan County,AL,17.8,22.8,6.1,1.1,0.7,13.1,8.7,0.1,2.2,82.8,75.1
Morgan County,CO,15.6,25.9,7.4,1.9,0.8,4.2,36.5,0.4,1.5,91.1,57.5
Morgan County,GA,20.5,22.5,6,0.7,0.7,21.8,3.2,0,1.6,75.2,72.9
Morgan County,IL,20.2,19,5.1,0.4,0.8,6.9,2.7,0.1,1.9,89.9,87.8
Morgan County,IN,17.3,22.4,5.7,0.4,0.7,0.5,1.7,0,1.2,97.1,95.7
Morgan County,KY,17.4,17.8,4.6,0.3,0.7,4.8,1,0,1,93.1,92.2
Morgan County,MO,23.4,23.2,6.7,0.9,0.5,0.9,2.4,0,1.9,95.8,93.8
Morgan County,OH,21.9,20.6,5.2,0.5,0.2,3.1,1,0,3.8,92.4,91.8
Morgan County,TN,18.6,18.9,5,0.5,0.3,3.7,1.5,0.1,1.5,94,92.8
Morgan County,UT,11.9,34.6,7.1,0.4,0.6,0.5,3.2,0.2,1.1,97.2,94.4
Morgan County,WV,23.8,17.7,4.1,0.4,0.4,0.9,1.7,0,1.8,96.5,95.1
Morrill County,NE,21.7,22.3,5.5,1.6,0.8,0.4,15.2,-1,1.6,95.6,81.7
Morris County,KS,24.4,20.8,5.8,0.6,0.7,0.6,5.3,0,2.1,96,91.3
Morris County,NJ,17.6,20.8,5,0.3,10.8,3.8,13.9,0,1.9,83.1,70.5
Morris County,TX,22,23.1,5.9,1.4,0.7,22.2,10.7,0.1,2.8,72.7,63.7
Morrison County,MN,20,23.2,5.9,0.4,0.4,0.9,1.9,0,1.2,97.1,95.6
Morrow County,OH,17.8,22.5,5.5,0.2,0.4,0.8,1.6,0,1.5,97.1,95.7
Morrow County,OR,16.8,27.4,7.3,2.5,0.6,1.1,37.7,0.3,2.6,92.9,58
Morton County,KS,21.9,24.1,5.7,2.2,1.7,1.7,22.6,0.2,2.6,91.7,71.6
Morton County,ND,17,23.1,7.1,3.8,0.5,1.3,4.1,0.1,2.2,92.2,88.8
Motley County,TX,30.7,19.8,4.9,2.3,0.2,3,19.3,0.3,1,93.3,76.3
Moultrie County,IL,19.4,25.3,6.4,0.3,0.3,0.8,1.7,0,1.1,97.5,96
Mountrail County,ND,11.6,27.6,8.5,30.1,0.4,1.8,8.9,0,3.2,64.5,58.4
Mower County,MN,18.5,25.1,6.7,0.7,5.3,3.9,12.2,0.5,1.9,87.8,76.7
Muhlenberg County,KY,19.6,20.4,5.6,0.2,0.3,4.9,1.6,0,1.3,93.3,91.9
Multnomah County,OR,13.9,18.4,5.1,1.4,8.1,6,12,0.7,4.7,79,69.1
Murray County,GA,15.3,24.5,6.4,1,0.5,1.2,15.7,0.3,1.3,95.7,81.8
Murray County,MN,26,21.4,5.5,0.5,1.6,0.5,4.4,0.2,1.3,95.8,92.2
Murray County,OK,20.2,23,5.7,14,0.6,1.7,7,0.1,7.3,76.3,70.8
Muscatine County,IA,17.2,24.7,6.4,0.7,1.2,3,18.3,0.2,1.6,93.2,76.2
Muscogee County,GA,13.7,24.7,7.1,0.5,2.8,48,7.7,0.2,3.2,45.2,39.6
Muskegon County,MI,17.6,22.9,6.1,1,0.7,14,5.8,0,3.1,81.2,76.4
Muskingum County,OH,18.2,22.5,6,0.3,0.6,3.8,1.2,0,3,92.2,91.3
Muskogee County,OK,17.1,24.4,6.5,19.7,0.7,10.9,6.6,0.1,8.8,59.9,55.5
Musselshell County,MT,27.6,18.5,4.7,2.1,1.8,0.8,3.7,0,2.7,92.6,89.7
Nacogdoches County,TX,15.3,23,6.2,0.9,1.3,18.2,20,0.1,1.9,77.6,59.2
Nance County,NE,21.8,22.1,5.7,0.7,0.1,0.5,3.1,0,1.4,97.2,94.5
Nantucket County,MA,14.8,20.8,6.6,0.4,2,11.3,15.2,0.1,1.9,84.2,71.1
Napa County,CA,19.7,20.2,4.8,1.3,8.9,2.5,34.6,0.4,3.3,83.6,51.8
Nash County,NC,19,21.8,5.6,1,1,41.3,7.4,0.1,1.9,54.7,48.9
Nassau County,FL,22.8,19.7,5.1,0.5,1,6.1,4.7,0.1,1.8,90.5,86.6
Nassau County,NY,18.2,21.4,5.5,0.5,10.9,13.1,17.5,0.1,2,73.4,58.5
Natchitoches Parish,LA,17.1,23.1,6.3,1.1,0.6,41.3,2.5,0,2.4,54.5,52.8
Natrona County,WY,15.9,23.9,6.4,1.5,0.9,1.4,8.7,0.1,2.4,93.7,86.3
Navajo County,AZ,18.8,26.3,6.7,45.7,0.6,1,11.5,0.2,2.2,50.4,41.6
Navarro County,TX,17.3,26.4,7.2,1.1,0.8,13.3,28.5,1.7,2.1,81,54.7
Nelson County,KY,16.1,23.4,6.2,0.2,0.5,5.1,2.2,0.1,1.8,92.3,90.4
Nelson County,ND,26.5,19.3,4.7,1.8,0.2,0.9,4.6,0,2,95,91.1
Nelson County,VA,28.2,17.8,4.7,0.6,0.8,11.4,4.3,0,2.3,85,81.6
Nemaha County,KS,20,27,7.7,0.7,0.3,0.8,2.3,0.1,1.5,96.6,94.8
Nemaha County,NE,20.4,22.3,6.4,0.5,0.7,1.4,2.8,0.1,1.5,95.8,93.4
Neosho County,KS,20.2,24.5,6.6,1.5,0.7,1.3,5.9,0.1,2.5,93.9,89.1
Neshoba County,MS,16.1,27.7,7.3,17.5,0.4,21.3,2.2,0.1,1.9,58.8,57.7
Ness County,KS,26.9,20.7,4.6,1.5,0.2,1,10.4,-1,1.3,96,87.2
Nevada County,AR,21,22.8,6.3,0.4,0.5,30.9,4.7,0,1.7,66.4,62.3
Nevada County,CA,28.4,17,4.2,1.3,1.5,0.6,9.8,0.2,3.1,93.3,84.7
New Castle County,DE,16.1,21.4,5.7,0.5,5.8,26.4,10.4,0.1,2.6,64.6,56.3
New Hanover County,NC,18.4,18.2,4.7,0.6,1.6,13.4,5.8,0.1,2.1,82.2,77.4
New Haven County,CT,17.9,20,5.1,0.6,4.3,15.2,19.1,0.1,2.5,77.3,61.6
New Kent County,VA,17.7,19.9,5.1,1.1,1.2,13.9,3.6,0.1,2.9,80.8,77.9
New London County,CT,18.8,19.2,4.9,1.2,4.3,7,11.1,0.1,3.8,83.6,75.1
New Madrid County,MO,19.5,23.2,6.3,0.3,0.4,15.9,2.1,0.1,2,81.3,79.6
New York County,NY,17,14.3,4.7,1.2,12.8,17.8,25.6,0.2,3.4,64.6,47.2
Newaygo County,MI,19.8,22.4,5.7,0.9,0.5,1.2,6,0,1.8,95.6,90.2
Newberry County,SC,20.3,21.3,5.6,0.8,0.7,30.3,7.8,0.3,1.6,66.3,60.5
Newport County,RI,22.8,16.7,4.4,0.6,2,4.4,6,0.1,2.8,90.1,85.6
Newport News city,VA,12.7,23.2,7.3,0.3,3.2,41.1,9,0.2,5.2,47.9,42.9
Newton County,AR,27.2,19.3,5.1,1.3,0.4,0.5,1.9,0,2.6,95.2,93.5
Newton County,GA,13.3,25.8,6.4,0.5,1.2,47.7,6.1,0.1,2.2,48.3,43.9
Newton County,IN,20.2,20.9,5.4,0.6,0.7,1,6.9,0.1,1.2,96.4,90.4
Newton County,MO,18.4,23.6,6.1,2.6,1.5,1,5.6,1.1,3.3,90.4,85.7
Newton County,MS,17.1,25.3,6.7,5.6,0.5,31.2,2,0,1.1,61.6,60.3
Newton County,TX,21.2,19.6,4.4,1,0.6,19.7,3.9,0,2,76.7,73.3
Nez Perce County,ID,20.2,21.4,5.8,6,0.8,0.5,4,0.1,2.7,89.8,86.8
Niagara County,NY,19.5,19.9,5.3,1.2,1.1,7.4,3.3,0.1,2.7,87.5,84.9
Nicholas County,KY,17,24.2,6.4,0.2,0.3,0.9,2.4,-1,1,97.7,95.5
Nicholas County,WV,22.9,20.6,5.1,0.4,0.4,0.6,0.8,0,1.2,97.5,96.7
Nicollet County,MN,16.7,21.9,5.6,0.6,1.6,3.9,4.9,0,1.7,92.2,87.9
Niobrara County,WY,23.3,17.5,6.1,1.1,0.5,0.9,4,-1,2.8,94.7,91.4
Noble County,IN,16.5,24.3,6.6,0.4,0.5,1.2,10.5,0.1,1.3,96.5,86.6
Noble County,OH,28.3,18.7,5,0.4,0.3,2.8,0.7,0,1.1,95.5,94.9
Noble County,OK,20,23.6,6,9.5,0.6,1.9,4.1,0.1,5.1,82.7,80.2
Nobles County,MN,16.8,27.5,8.6,1.3,7.2,4.8,29.4,0.1,1.6,85,57.7
Nodaway County,MO,15.6,15.5,4.4,0.4,1.5,3,1.8,0,1.1,94,92.4
Nolan County,TX,18.6,26,6.7,1.3,0.8,5.2,39.1,0.1,2.1,90.5,54.1
Nome Census Area,AK,8,34.6,10,75.3,1.5,0.9,2.9,0.2,6.5,15.7,14.9
Norfolk County,MA,17.2,20.7,5.3,0.2,12,8,5,0.1,2.1,77.6,73.8
Norfolk city,VA,10.9,19.7,6.6,0.4,3.7,41.1,8,0.1,4.7,47,43.4
Norman County,MN,21.5,24.2,5.9,2.3,0.7,0.9,5.1,0.1,2.7,93.2,89.2
North Slope Borough,AK,7.5,26.8,7.9,53.2,5.5,1.6,4.3,1.8,5.3,32.7,30.9
Northampton County,NC,27,17.2,4.7,0.7,0.3,57.2,2.6,0,1.4,40.4,38.8
Northampton County,PA,19.5,19.7,4.8,0.4,3.1,7.2,14.2,0.1,2.4,86.8,75.4
Northampton County,VA,27,19.7,5.1,0.4,1,33.7,9.5,0.2,1.9,62.7,54.3
Northumberland County,PA,21.8,19.6,5.2,0.3,0.5,3,3.9,0,1.4,94.8,91.7
Northumberland County,VA,37.5,14.5,3.6,0.2,0.5,25,3.8,0.1,1.8,72.4,69.2
Northwest Arctic Borough,AK,7.3,36.2,10.5,79.6,1,1.8,3.7,0.2,5.7,11.7,10.7
